ID	TS	SPA	MAT	NC	CS	SCORE	ACCEPTED	GENDER
36	0.367	1.209	-0.007	1.309	-0.261	652.344	SI	Femenino
37	-0.616	-2.499	0.757	1.938	-0.548	580.642	NO	Femenino
38	-0.337	-1.193	-0.974	-0.922	-1.189	507.702	NO	Femenino
39	-1.466	-1.337	-1.228	0.237	0.259	529.288	NO	Maculino
40	-1.322	-1.956	-0.477	-0.953	-1.560	474.631	NO	Femenino
41	0.982	2.241	2.265	-0.318	-0.418	695.027	SI	Femenino
42	2.038	1.662	2.405	2.214	1.247	791.305	SI	Maculino
43	-1.046	-1.736	-1.254	-1.727	-0.152	481.695	NO	Femenino
44	-1.245	-0.559	-0.360	-0.622	-0.972	524.823	NO	Maculino
45	-1.532	-0.174	-1.465	-1.237	-3.228	447.279	NO	Femenino
46	-0.752	1.598	-0.629	0.381	1.445	640.855	SI	Femenino
47	-0.433	-0.192	0.089	-0.762	-0.254	568.982	NO	Femenino
48	3.512	0.007	4.000	-0.018	2.666	803.336	SI	Maculino
49	-1.520	0.415	0.067	0.264	-0.263	579.285	SI	Maculino
50	2.014	1.310	3.099	2.473	0.923	796.385	SI	Maculino
51	-0.764	-0.098	2.574	2.383	0.665	695.185	SI	Maculino
52	2.031	0.412	-0.115	0.469	1.484	685.630	SI	Maculino
53	0.731	-0.416	-1.695	-0.696	-0.555	547.382	NO	Femenino
54	1.005	1.494	0.067	0.436	3.905	738.165	SI	Femenino
55	1.500	0.605	0.194	1.308	0.258	677.314	SI	Femenino
56	0.073	-0.508	0.699	1.472	0.998	654.673	SI	Maculino
57	1.319	0.922	0.710	0.601	3.110	733.245	SI	Femenino
58	-1.418	-0.023	2.163	-0.227	-0.393	602.032	NO	Femenino
59	1.787	-0.093	0.244	-1.214	-0.089	612.704	NO	Femenino
60	2.622	-0.646	1.212	1.359	1.062	712.178	SI	Maculino
61	0.283	-0.103	-0.904	0.261	-1.767	555.379	NO	Femenino
62	-0.020	0.971	0.839	-0.422	-0.311	621.146	NO	Femenino
63	0.221	-2.054	0.476	-0.238	-0.207	563.970	NO	Femenino
64	1.500	1.913	0.037	-0.486	1.114	681.585	SI	Maculino
65	1.239	1.707	-0.028	1.992	1.727	732.753	SI	Femenino
66	1.439	0.149	1.582	1.242	1.360	715.436	SI	Maculino
67	0.384	-0.832	-0.192	0.176	-0.269	585.335	SI	Femenino
68	-0.791	0.268	0.293	0.779	0.869	628.377	SI	Maculino
69	2.598	2.323	0.298	1.146	1.014	747.585	SI	Maculino
70	0.262	-0.184	0.022	0.637	-1.190	590.942	NO	Femenino
71	-0.526	1.125	0.457	1.538	-0.440	643.071	SI	Maculino
72	-0.118	-0.367	-0.025	0.546	-0.476	591.220	NO	Femenino
73	-0.098	-0.811	-1.817	0.877	0.152	566.058	NO	Maculino
74	0.223	-0.269	0.095	-1.063	-1.055	558.618	NO	Femenino
75	-1.065	-0.893	-0.516	0.324	-0.531	546.362	NO	Femenino
76	-1.875	0.120	-1.602	0.466	0.782	557.838	NO	Femenino
77	2.268	0.579	2.232	1.583	2.070	774.644	SI	Maculino
78	1.767	-0.097	2.106	1.297	-0.711	687.259	SI	Femenino
79	0.739	1.432	1.236	0.470	-0.298	671.574	NO	Maculino
80	1.181	0.474	0.881	0.181	0.205	658.461	SI	Maculino
81	-0.147	0.855	-0.446	-1.046	-0.350	577.301	NO	Femenino
82	1.465	0.438	0.341	0.971	2.000	704.291	SI	Maculino
83	1.613	1.205	0.008	1.080	1.958	717.290	SI	Femenino
84	-0.995	0.897	1.741	2.164	-0.999	656.170	SI	Femenino
85	-1.028	-0.336	-1.011	-3.152	-1.200	465.433	NO	Maculino
86	1.570	0.610	-0.802	1.424	1.775	691.562	SI	Femenino
87	-0.173	1.500	-1.124	0.455	-0.639	600.396	NO	Femenino
88	-0.836	0.166	0.895	1.042	2.192	669.169	SI	Maculino
89	1.723	2.233	1.267	1.825	0.283	746.619	SI	Maculino
90	-1.948	-0.981	-0.336	-1.195	-0.599	498.819	NO	Femenino
91	-1.125	-1.624	-1.896	-0.798	1.243	516.005	NO	Femenino
92	-0.980	1.052	0.842	2.041	0.217	663.432	SI	Femenino
93	0.123	0.579	-0.578	3.370	0.790	685.672	SI	Femenino
94	0.428	0.689	0.778	1.407	0.830	682.652	SI	Femenino
95	0.114	0.088	0.958	1.607	1.770	690.756	SI	Maculino
96	-1.028	-0.050	0.246	-0.540	-1.420	544.157	NO	Maculino
97	-0.655	1.278	-0.596	0.255	-1.557	574.513	NO	Femenino
98	-0.486	-0.271	0.819	-1.974	-0.553	550.721	NO	Femenino
99	-0.162	-0.049	2.045	1.075	-0.004	658.104	NO	Maculino
100	1.292	-0.825	1.698	-0.790	-0.202	623.478	NO	Femenino
101	2.154	2.813	2.075	0.503	0.296	756.818	SI	Maculino
102	0.245	-1.179	-1.372	-1.797	-0.446	509.019	NO	Femenino
103	0.516	0.960	-0.973	2.768	3.035	726.117	SI	Maculino
104	-2.504	-1.607	-1.633	-1.250	-1.081	438.489	NO	Maculino
105	1.714	-1.605	-0.528	-0.414	0.704	597.413	NO	Maculino
106	1.867	-0.427	0.889	2.330	2.059	734.352	SI	Maculino
107	0.174	0.863	-1.526	-1.320	-0.633	551.175	NO	Femenino
108	-0.134	2.315	0.280	0.496	0.255	664.227	SI	Femenino
109	-0.021	1.036	1.135	-0.205	1.150	661.889	SI	Femenino
110	0.022	1.210	2.458	1.059	0.358	702.141	SI	Femenino
111	-1.671	-2.328	-0.665	-1.290	-1.040	460.088	NO	Femenino
112	0.965	1.230	1.943	1.197	1.783	742.341	SI	Maculino
113	-0.476	-0.447	-0.935	-0.214	0.476	568.073	NO	Femenino
114	0.274	1.587	2.362	0.749	-0.172	696.018	SI	Femenino
115	1.250	-0.418	0.504	0.740	2.606	693.652	SI	Femenino
116	-0.455	-0.547	-0.109	2.044	-0.218	614.294	NO	Femenino
117	0.096	1.134	2.553	2.003	1.871	753.123	SI	Femenino
118	0.401	1.327	1.493	1.433	3.667	766.405	SI	Maculino
119	-0.607	-0.886	0.158	-0.429	-1.564	533.409	SI	Maculino
120	0.846	0.705	-0.022	0.597	1.406	670.625	SI	Femenino
121	-2.438	-0.439	-1.552	-1.497	-0.753	466.416	NO	Maculino
122	1.388	1.438	3.447	1.677	1.448	787.949	SI	Maculino
123	-1.304	-0.738	-1.659	-0.296	-0.091	518.254	NO	Maculino
124	-1.222	-1.025	-1.533	-0.759	-0.202	505.156	NO	Femenino
125	2.039	1.993	3.010	1.761	0.531	786.662	SI	Maculino
126	-1.958	0.470	0.354	-2.489	-3.693	453.685	NO	Femenino
127	-0.098	0.881	-1.452	-0.317	-0.563	569.037	NO	Femenino
128	0.030	1.776	0.343	1.119	-0.107	663.221	SI	Femenino
129	1.067	-0.739	-0.379	-0.053	-1.721	563.476	NO	Femenino
130	0.900	-1.076	-1.468	-0.025	-1.213	542.338	NO	Femenino
131	-0.843	0.198	0.688	-1.674	-0.444	558.479	NO	Femenino
132	0.395	-0.422	0.625	0.069	-0.020	612.953	SI	Maculino
133	2.957	1.253	2.940	2.089	2.909	842.966	SI	Femenino
134	0.435	0.807	-0.301	-1.526	-0.627	575.750	NO	Femenino
135	-1.206	-0.115	-0.428	-1.899	-2.950	468.038	NO	Femenino
136	0.284	0.936	-0.789	-0.746	0.055	594.790	SI	Femenino
137	3.366	-0.631	2.217	-0.288	0.557	704.426	SI	Femenino
138	2.036	0.130	1.136	-1.280	-0.149	637.442	NO	Femenino
139	0.920	-0.228	1.146	0.952	0.112	658.051	SI	Maculino
140	1.215	-1.331	1.130	-0.372	0.776	628.369	NO	Maculino
141	-1.771	-1.448	-0.562	-0.322	-1.297	492.021	NO	Maculino
142	-2.250	-0.476	-0.316	1.255	-1.287	538.527	SI	Maculino
143	2.822	1.389	1.936	2.740	0.989	797.519	SI	Maculino
144	-0.318	-0.185	-0.971	0.845	0.775	602.932	NO	Femenino
145	0.871	0.801	-0.356	0.364	-0.027	633.063	SI	Femenino
146	0.369	-2.244	0.094	-2.519	0.060	515.205	NO	Femenino
147	-0.044	1.628	-1.726	-1.322	-1.774	535.231	NO	Femenino
148	0.521	0.473	0.869	1.630	1.486	699.581	SI	Femenino
149	-1.772	-0.144	-0.942	-2.546	-2.298	445.965	NO	Femenino
150	2.517	1.471	2.542	2.150	1.282	799.245	SI	Femenino
151	-1.446	1.974	-1.178	0.230	1.530	622.176	SI	Femenino
152	0.129	-0.105	0.154	-0.273	1.422	626.526	SI	Femenino
153	-0.333	-0.356	-0.420	1.104	0.036	600.627	NO	Maculino
154	-0.783	1.427	-0.675	1.273	0.324	631.305	NO	Femenino
155	-0.669	0.291	-1.475	0.106	-0.711	550.828	SI	Femenino
156	-1.245	0.776	0.484	-0.309	-0.611	581.908	NO	Maculino
157	-0.275	-0.530	-1.992	-0.726	0.148	532.521	SI	Femenino
158	0.310	-1.336	-1.862	-1.074	-0.596	508.829	SI	Maculino
159	-1.586	-1.625	-0.976	-1.025	-1.445	466.847	NO	Maculino
160	3.166	-0.072	-0.038	2.964	2.478	769.946	SI	Maculino
161	-2.072	-1.296	-1.107	-0.425	-0.806	485.879	NO	Maculino
162	-1.827	-0.507	0.843	-1.795	-0.213	530.029	NO	Femenino
163	-0.597	-0.621	0.359	1.253	0.677	621.420	SI	Maculino
164	0.114	0.634	-0.554	-0.292	1.570	629.435	NO	Femenino
165	-0.643	0.079	0.234	1.056	0.040	615.297	SI	Maculino
166	-0.487	-0.315	-1.139	-1.133	-0.150	535.536	NO	Maculino
167	0.535	0.538	0.279	-0.769	-0.395	603.746	NO	Maculino
168	-0.168	-0.824	-1.284	-0.011	0.392	562.105	NO	Femenino
169	-0.359	2.412	1.077	0.253	-0.817	651.316	SI	Femenino
170	0.114	-0.437	-0.242	0.156	-0.593	579.950	NO	Femenino
171	-1.019	0.357	-1.743	-0.498	-1.753	506.857	NO	Femenino
172	2.857	2.320	2.835	1.464	-0.347	782.575	SI	Maculino
173	0.551	-0.494	2.425	2.717	1.424	732.469	SI	Maculino
174	0.205	1.430	-0.904	1.263	0.950	658.900	SI	Femenino
175	0.667	1.759	-0.234	-1.489	0.563	625.329	SI	Femenino
176	-1.995	-1.755	-1.088	-1.290	-1.265	452.147	NO	Maculino
177	0.050	-0.597	0.554	-0.810	-1.139	561.133	NO	Femenino
178	-1.072	-0.712	1.683	-0.712	0.009	583.927	NO	Femenino
179	2.258	0.210	3.312	0.176	0.595	731.004	SI	Maculino
180	-0.244	-1.965	-1.119	-1.786	0.375	505.217	SI	Femenino
181	1.505	1.866	3.155	2.464	2.989	839.592	SI	Maculino
182	-0.949	-0.148	-1.895	-1.673	-0.374	499.224	NO	Maculino
183	1.523	0.550	-0.255	2.070	0.118	680.120	SI	Maculino
184	-1.165	-0.575	0.807	-0.397	-0.772	557.961	NO	Femenino
185	-0.100	-0.430	-1.445	1.238	1.756	620.388	NO	Femenino
186	4.000	1.453	4.000	2.657	3.864	919.465	SI	Maculino
187	-1.010	-0.827	-1.275	-0.632	-0.252	520.083	NO	Maculino
188	-0.027	-1.285	0.917	1.380	0.601	631.699	SI	Femenino
189	1.049	0.950	-0.243	0.547	1.580	677.662	SI	Maculino
190	2.019	-0.395	-0.051	1.552	1.896	700.402	SI	Maculino
191	-0.198	-1.723	-1.754	-0.673	0.299	519.040	NO	Femenino
192	-0.601	2.482	2.085	1.766	-1.072	693.224	NO	Femenino
193	-0.999	-1.860	-1.217	-1.902	-2.300	434.410	NO	Maculino
194	1.728	2.241	-0.196	0.399	2.254	728.527	SI	Femenino
195	0.877	1.945	2.584	3.487	1.541	808.704	SI	Maculino
196	-0.080	1.271	-0.027	0.708	1.497	667.365	SI	Femenino
197	0.847	1.958	0.323	-0.067	-1.070	639.827	NO	Maculino
198	-0.973	-0.070	-1.051	2.114	-0.773	584.944	NO	Femenino
199	3.357	2.580	1.154	0.976	1.142	784.167	SI	Femenino
200	1.886	2.057	-1.214	1.228	0.608	691.314	SI	Femenino
